koi_disposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err2,koi_impact,koi_duration,koi_depth,koi_depth_err2,koi_model_snr,koi_srad,koi_srad_err2,dec
CONFIRMED,1.0,0,0,0,0,6.54626149,-2.668e-05,0.644,2.75,655.9,-30.0,24.8,0.817,-0.029,41.08588
CONFIRMED,1.0,0,0,0,0,12.71809866,-2.324e-05,0.427,3.0957,1149.4,-24.5,52.7,0.686,-0.067,41.060921
CONFIRMED,0.999,0,0,0,0,36.06588163,-8.305e-05,0.26,4.3246,1563.8,-32.1,51.7,0.686,-0.067,41.060921
CONFIRMED,1.0,0,0,0,0,4.190425659,-1.611e-06,0.458,2.8589,2877.4,-14.1,240.6,1.135,-0.15,41.137589
CONFIRMED,1.0,0,0,0,0,3.709870784,-3.043e-06,0.023,3.0694,2020.3,-20.1,116.1,0.978,-0.062,41.346458
CONFIRMED,1.0,0,0,0,0,16.3297527,-3.611e-05,0.791,6.271,1187.5,-18.1,74.6,0.987,-0.125,41.301769
CONFIRMED,0.985,0,0,0,0,27.807566216,-4.747e-06,0.782,4.21587,25391.0,-47.3,748.1,0.785,-0.069,41.396091
CONFIRMED,0.942,0,0,0,0,80.8723469,-0.0001468,0.527,11.195,3604.6,-25.9,160.9,1.238,-0.247,41.565788
FALSE POSITIVE,0.0,0,1,1,0,3.166465862,-2.222e-06,1.266,2.9381,4357.2,-44.4,122.1,0.704,-0.072,41.679192
CONFIRMED,0.912,0,0,0,0,24.99324319,-6.127e-05,0.686,5.9409,269.6,-4.9,62.0,1.317,-0.048,38.649601
CONFIRMED,1.0,0,0,0,0,10.35533116,-2.087e-05,0.029,3.1775,750.6,-17.4,49.2,0.918,-0.117,41.633282
CONFIRMED,1.0,0,0,0,0,16.08518937,-3.022e-05,0.867,3.984,1442.4,-26.7,62.6,0.826,-0.081,42.380322
CONFIRMED,1.0,0,0,0,0,7.49018305,-1.181e-05,0.02,2.7297,1123.6,-22.7,53.0,0.787,-0.039,42.436321
CONFIRMED,1.0,0,0,0,0,36.2761238,-0.0001055,0.035,4.7865,1572.6,-35.5,45.5,0.787,-0.039,42.436321
CONFIRMED,1.0,0,0,0,0,17.46087931,-5.278e-05,0.594,2.2641,812.4,-38.3,22.6,0.787,-0.039,42.436321
CONFIRMED,0.996,0,0,0,0,56.0560754,-0.0002753,0.018,4.685,1626.0,-66.7,27.4,0.491,-0.055,41.812119
CONFIRMED,0.974,0,0,0,0,41.408316686,-6.58e-06,0.377,5.0264,22839.0,-31.4,907.8,0.747,-0.068,41.944069
CONFIRMED,1.0,0,0,0,0,5.715425977,-7.779e-06,0.348,2.5242,908.1,-17.4,59.4,0.826,-0.057,42.033958
CONFIRMED,0.959,0,0,0,0,49.18394185,-2.475e-05,0.035,11.3364,1646.2,-5.4,355.7,2.057,-0.138,46.062328
CONFIRMED,0.994,0,0,0,0,20.0261412,-0.0001272,0.957,1.611,421.2,-60.7,10.7,0.826,-0.057,42.033958
FALSE POSITIVE,0.0,0,1,1,1,10.44331991,-2.287e-05,0.23,2.743,1159.8,-64.2,51.7,0.802,-0.081,42.148811
CONFIRMED,1.0,0,0,0,0,2.237489571,-5.022e-06,0.128,1.8119,315.8,-11.8,30.7,0.81,-0.029,42.116459
FALSE POSITIVE,0.0,0,1,0,0,5.851520671,-3.31e-07,0.211,3.11058,33004.0,-26.1,1630.4,0.806,-0.087,42.233231
CONFIRMED,1.0,0,0,0,0,3.167893418,-3.869e-06,0.026,2.1814,781.2,-14.3,64.8,0.94,-0.094,42.212502
CONFIRMED,1.0,0,0,0,0,4.311780262,-4.342e-06,0.196,2.7251,1154.0,-15.0,86.1,0.927,-0.062,42.301369
CONFIRMED,1.0,0,0,0,0,20.0504494,-8.826e-05,0.383,4.556,840.9,-23.5,37.8,0.927,-0.062,42.301369
CONFIRMED,1.0,0,0,0,0,9.76734503,-3.052e-05,0.9,1.6585,569.1,-31.7,21.1,0.927,-0.062,42.301369
CONFIRMED,0.987,0,0,0,0,190.3200468,-0.0005327,0.812,15.284,1141.7,-8.5,139.3,2.057,-0.138,46.062328
FALSE POSITIVE,0.0,0,1,1,0,2.861159894,-3.059e-06,0.965,1.8832,1014.3,-28.6,58.3,1.021,-0.108,42.343109
CONFIRMED,1.0,0,0,0,0,26.44439337,-3.65e-05,0.03,3.9783,1843.5,-22.2,88.0,0.929,-0.069,42.966141
CONFIRMED,0.983,0,0,0,0,51.53997972,-5.613e-05,0.183,6.3994,3644.3,-23.9,155.5,0.929,-0.069,42.966141
CONFIRMED,1.0,0,0,0,0,5.902245782,-7.373e-06,0.209,2.9003,702.3,-12.8,59.3,0.929,-0.069,42.966141
CONFIRMED,1.0,0,0,0,0,2.382951591,-2.808e-06,0.479,1.8876,391.6,-10.4,41.4,0.929,-0.069,42.966141
CONFIRMED,1.0,0,0,0,0,21.02250608,-4.091e-05,0.036,4.1072,1772.5,-32.1,62.4,0.75,-0.033,42.935261
CONFIRMED,1.0,0,0,0,0,3.219814777,-5.531e-06,0.06,2.0642,488.2,-17.6,30.5,0.787,-0.039,42.436321
CONFIRMED,1.0,0,0,0,0,5.912273234,-7.039e-06,0.17,2.3254,961.4,-17.2,62.8,0.57,-0.032,42.42942
CONFIRMED,1.0,0,0,0,0,8.98581901,-1.437e-05,0.008,2.8606,881.3,-18.5,51.8,0.57,-0.032,42.42942
FALSE POSITIVE,0.573,0,1,0,0,20.5452375,-0.0001428,0.95,2.517,218.5,-14.0,18.5,1.264,-0.328,50.172089
CONFIRMED,1.0,0,0,0,0,33.60123371,-1.767e-05,0.67,4.4056,7425.9,-33.2,247.9,0.93,-0.055,42.604172
CONFIRMED,1.0,0,0,0,0,6.76652928,-1.577e-05,0.429,2.9004,450.7,-17.2,29.2,0.93,-0.055,42.604172
CONFIRMED,1.0,0,0,0,0,4.347288783,-8.512e-06,0.025,2.1024,451.6,-13.2,39.7,1.122,-0.138,42.69614
CONFIRMED,1.0,0,0,0,0,4.601811819,-6.168e-06,0.567,2.2607,755.9,-14.1,60.8,0.833,-0.064,42.663429
CONFIRMED,0.997,0,0,0,0,11.18719905,-5.331e-05,0.387,3.252,353.6,-17.5,21.9,0.833,-0.064,42.663429
CONFIRMED,1.0,0,0,0,0,4.220965778,-2.584e-06,0.705,3.0854,2260.0,-17.9,157.8,0.517,-0.114,42.62611
